Vernier Format 2
47ohm.txt 8/2/2022 0:39:24
in bag1
Time	Potential	Current	
T	P	C	
min	V	A	

0.0	1.448	-0.0005	
0.1	1.198	0.0238	
0.2	1.237	0.0247	
0.3	1.242	0.0250	
0.4	1.233	0.0247	
0.5	1.223	0.0244	
0.6	1.223	0.0244	
0.7	1.218	0.0247	
0.8	1.228	0.0244	
0.9	1.213	0.0247	
1.0	1.213	0.0241	
1.1	1.218	0.0244	
1.2	1.208	0.0241	
1.3	1.203	0.0241	
1.4	1.208	0.0238	
1.5	1.203	0.0238	
1.6	1.194	0.0238	
1.7	1.208	0.0238	
1.8	1.203	0.0238	
1.9	1.203	0.0238	
2.0	1.189	0.0238	
2.1	1.198	0.0238	
2.2	1.194	0.0238	
2.3	1.189	0.0238	
2.4	1.184	0.0238	
2.5	1.184	0.0238	
2.6	1.198	0.0238	
2.7	1.184	0.0238	
2.8	1.189	0.0235	
2.9	1.184	0.0238	
3.0	1.189	0.0235	
3.1	1.184	0.0235	
3.2	1.189	0.0235	
3.3	1.184	0.0235	
3.4	1.184	0.0235	
3.5	1.174	0.0235	
3.6	1.184	0.0235	
3.7	1.184	0.0235	
3.8	1.184	0.0235	
3.9	1.179	0.0235	
4.0	1.174	0.0235	
4.1	1.164	0.0235	
4.2	1.184	0.0235	
4.3	1.174	0.0235	
4.4	1.164	0.0232	
4.5	1.164	0.0232	
4.6	1.174	0.0232	
4.7	1.174	0.0232	
4.8	1.169	0.0232	
4.9	1.169	0.0235	
5.0	1.159	0.0232	
5.1	1.169	0.0235	
5.2	1.164	0.0232	
5.3	1.169	0.0232	
5.4	1.159	0.0232	
5.5	1.169	0.0222	
5.6	1.174	0.0222	
5.7	1.164	0.0219	
5.8	1.174	0.0216	
5.9	1.174	0.0216	
6.0	1.174	0.0216	
6.1	1.174	0.0216	
6.2	1.159	0.0216	
6.3	1.154	0.0216	
6.4	1.159	0.0216	
6.5	1.154	0.0216	
6.6	1.164	0.0213	
6.7	1.164	0.0216	
6.8	1.164	0.0213	
6.9	1.159	0.0213	
7.0	1.159	0.0216	
7.1	1.164	0.0216	
7.2	1.164	0.0213	
7.3	1.169	0.0213	
7.4	1.164	0.0213	
7.5	1.164	0.0216	
7.6	1.164	0.0213	
7.7	1.164	0.0213	
7.8	1.164	0.0213	
7.9	1.159	0.0213	
8.0	1.145	0.0210	
8.1	1.154	0.0213	
8.2	1.150	0.0213	
8.3	1.150	0.0213	
8.4	1.159	0.0213	
8.5	1.150	0.0213	
8.6	1.140	0.0213	
8.7	1.145	0.0210	
8.8	1.154	0.0213	
8.9	1.145	0.0213	
9.0	1.150	0.0213	
9.1	1.150	0.0213	
9.2	1.135	0.0213	
9.3	1.145	0.0213	
9.4	1.150	0.0216	
9.5	1.140	0.0213	
9.6	1.145	0.0213	
9.7	1.140	0.0213	
9.8	1.145	0.0216	
9.9	1.130	0.0222	
10.0	1.140	0.0216	
			
Vernier Format 2
47ohm.txt 8/2/2022 0:39:24
open air1
Time	Potential	Current	
T	P	C	
min	V	A	

0.0	1.453	-0.0005	
0.1	1.003	0.0197	
0.2	1.067	0.0210	
0.3	1.086	0.0216	
0.4	1.106	0.0216	
0.5	1.115	0.0222	
0.6	1.120	0.0222	
0.7	1.130	0.0222	
0.8	1.125	0.0222	
0.9	1.140	0.0225	
1.0	1.135	0.0225	
1.1	1.135	0.0225	
1.2	1.145	0.0225	
1.3	1.140	0.0225	
1.4	1.145	0.0225	
1.5	1.140	0.0229	
1.6	1.140	0.0229	
1.7	1.145	0.0225	
1.8	1.135	0.0225	
1.9	1.140	0.0225	
2.0	1.145	0.0225	
2.1	1.140	0.0225	
2.2	1.135	0.0225	
2.3	1.135	0.0225	
2.4	1.130	0.0229	
2.5	1.140	0.0225	
2.6	1.140	0.0225	
2.7	1.140	0.0229	
2.8	1.150	0.0225	
2.9	1.135	0.0229	
3.0	1.140	0.0229	
3.1	1.145	0.0225	
3.2	1.145	0.0225	
3.3	1.135	0.0229	
3.4	1.145	0.0229	
3.5	1.145	0.0229	
3.6	1.145	0.0229	
3.7	1.145	0.0225	
3.8	1.145	0.0225	
3.9	1.140	0.0225	
4.0	1.150	0.0225	
4.1	1.150	0.0225	
4.2	1.135	0.0225	
4.3	1.135	0.0225	
4.4	1.135	0.0225	
4.5	1.145	0.0225	
4.6	1.140	0.0225	
4.7	1.145	0.0225	
4.8	1.145	0.0225	
4.9	1.135	0.0225	
5.0	1.140	0.0225	
5.1	1.125	0.0225	
5.2	1.140	0.0225	
5.3	1.140	0.0229	
5.4	1.130	0.0225	
5.5	1.135	0.0225	
5.6	1.130	0.0225	
5.7	1.140	0.0222	
5.8	1.140	0.0225	
5.9	1.140	0.0222	
6.0	1.135	0.0225	
6.1	1.125	0.0225	
6.2	1.120	0.0225	
6.3	1.125	0.0225	
6.4	1.135	0.0222	
6.5	1.135	0.0225	
6.6	1.130	0.0225	
6.7	1.125	0.0222	
6.8	1.130	0.0222	
6.9	1.130	0.0222	
7.0	1.120	0.0222	
7.1	1.130	0.0225	
7.2	1.125	0.0222	
7.3	1.130	0.0222	
7.4	1.120	0.0222	
7.5	1.125	0.0222	
7.6	1.115	0.0222	
7.7	1.120	0.0222	
7.8	1.125	0.0222	
7.9	1.125	0.0222	
8.0	1.120	0.0222	
8.1	1.111	0.0222	
8.2	1.120	0.0222	
