Vernier Format 2
carcd.txt 8/9/2022 0:44:58
Run 1
Time	Current	Potential	
T	C	P	
min	A	V	

0.0	-0.0006	1.419	
0.1	-0.0012	1.424	
0.2	-0.0012	1.424	
0.3	-0.0286	1.321	
0.4	-0.0289	1.346	
0.5	-0.0292	1.350	
0.6	-0.0289	1.350	
0.7	-0.0292	1.350	
0.8	-0.0289	1.350	
0.9	-0.0286	1.346	
1.0	-0.0286	1.331	
1.1	-0.0286	1.331	
1.2	-0.0286	1.341	
1.3	-0.0286	1.331	
1.4	-0.0286	1.321	
1.5	-0.0283	1.326	
1.6	-0.0286	1.326	
1.7	-0.0283	1.321	
1.8	-0.0283	1.326	
1.9	-0.0280	1.316	
2.0	-0.0280	1.302	
2.1	-0.0280	1.311	
2.2	-0.0280	1.306	
2.3	-0.0280	1.306	
2.4	-0.0277	1.306	
2.5	-0.0277	1.302	
2.6	-0.0277	1.302	
2.7	-0.0277	1.287	
2.8	-0.0277	1.292	
2.9	-0.0274	1.282	
3.0	-0.0277	1.287	
3.1	-0.0277	1.282	
3.2	-0.0274	1.277	
3.3	-0.0274	1.272	
3.4	-0.0274	1.267	
3.5	-0.0274	1.267	
3.6	-0.0274	1.272	
3.7	-0.0274	1.267	
3.8	-0.0274	1.267	
3.9	-0.0274	1.252	
4.0	-0.0270	1.262	
4.1	-0.0270	1.252	
4.2	-0.0270	1.257	
4.3	-0.0270	1.252	
4.4	-0.0270	1.262	
4.5	-0.0267	1.257	
4.6	-0.0270	1.252	
4.7	-0.0267	1.238	
4.8	-0.0270	1.248	
4.9	-0.0267	1.252	
5.0	-0.0264	1.248	
5.1	-0.0264	1.248	
5.2	-0.0267	1.238	
5.3	-0.0267	1.248	
5.4	-0.0267	1.248	
5.5	-0.0264	1.213	
5.6	-0.0264	1.238	
5.7	-0.0264	1.233	
5.8	-0.0264	1.233	
5.9	-0.0264	1.218	
6.0	-0.0264	1.218	
6.1	-0.0264	1.208	
6.2	-0.0264	1.218	
6.3	-0.0264	1.203	
6.4	-0.0264	1.213	
6.5	-0.0261	1.213	
6.6	-0.0261	1.213	
6.7	-0.0261	1.213	
6.8	-0.0261	1.198	
6.9	-0.0258	1.203	
7.0	-0.0261	1.194	
7.1	-0.0261	1.198	
7.2	-0.0261	1.208	
7.3	-0.0258	1.203	
7.4	-0.0261	1.194	
7.5	-0.0258	1.194	
7.6	-0.0261	1.189	
7.7	-0.0258	1.198	
7.8	-0.0258	1.184	
7.9	-0.0261	1.198	
8.0	-0.0258	1.189	
8.1	-0.0255	1.189	
8.2	-0.0258	1.184	
8.3	-0.0261	1.198	
8.4	-0.0258	1.194	
8.5	-0.0258	1.189	
8.6	-0.0261	1.184	
8.7	-0.0258	1.189	
8.8	-0.0258	1.184	
8.9	-0.0258	1.189	
9.0	-0.0258	1.174	
9.1	-0.0258	1.189	
9.2	-0.0258	1.179	
9.3	-0.0255	1.184	
9.4	-0.0258	1.174	
9.5	-0.0255	1.189	
9.6	-0.0255	1.189	
9.7	-0.0258	1.189	
9.8	-0.0255	1.174	
9.9	-0.0255	1.179	
10.0	-0.0258	1.184	
