Vernier Format 2
poopbutt.txt 8/9/2022 0:45:39
Run 1
Time	Current	Potential	
T	C	P	
min	A	V	

0.0	-0.0003	1.326	
0.1	-0.0012	1.350	
0.2	-0.0012	1.350	
0.3	-0.0012	1.346	
0.4	-0.0255	1.169	
0.5	-0.0264	1.208	
0.6	-0.0267	1.208	
0.7	-0.0270	1.223	
0.8	-0.0270	1.233	
0.9	-0.0270	1.243	
1.0	-0.0267	1.238	
1.1	-0.0270	1.238	
1.2	-0.0270	1.238	
1.3	-0.0267	1.238	
1.4	-0.0264	1.233	
1.5	-0.0267	1.233	
1.6	-0.0267	1.218	
1.7	-0.0264	1.218	
1.8	-0.0267	1.213	
1.9	-0.0264	1.213	
2.0	-0.0264	1.203	
2.1	-0.0264	1.213	
2.2	-0.0264	1.213	
2.3	-0.0264	1.198	
2.4	-0.0264	1.203	
2.5	-0.0264	1.208	
2.6	-0.0264	1.194	
2.7	-0.0264	1.203	
2.8	-0.0264	1.194	
2.9	-0.0264	1.203	
3.0	-0.0261	1.194	
3.1	-0.0261	1.189	
3.2	-0.0261	1.194	
3.3	-0.0261	1.189	
3.4	-0.0261	1.194	
3.5	-0.0261	1.184	
3.6	-0.0261	1.184	
3.7	-0.0261	1.184	
3.8	-0.0261	1.194	
3.9	-0.0261	1.179	
4.0	-0.0261	1.189	
4.1	-0.0261	1.189	
4.2	-0.0258	1.179	
4.3	-0.0261	1.189	
4.4	-0.0258	1.184	
4.5	-0.0261	1.174	
4.6	-0.0258	1.179	
4.7	-0.0258	1.184	
4.8	-0.0258	1.184	
4.9	-0.0258	1.184	
5.0	-0.0258	1.179	
5.1	-0.0258	1.179	
5.2	-0.0258	1.169	
5.3	-0.0258	1.169	
5.4	-0.0255	1.164	
5.5	-0.0258	1.169	
5.6	-0.0255	1.164	
5.7	-0.0258	1.174	
5.8	-0.0255	1.169	
5.9	-0.0255	1.174	
6.0	-0.0258	1.174	
6.1	-0.0258	1.174	
6.2	-0.0255	1.169	
6.3	-0.0255	1.169	
6.4	-0.0255	1.169	
6.5	-0.0255	1.169	
6.6	-0.0255	1.159	
6.7	-0.0255	1.169	
6.8	-0.0255	1.169	
6.9	-0.0255	1.169	
7.0	-0.0255	1.169	
7.1	-0.0255	1.159	
7.2	-0.0255	1.154	
7.3	-0.0255	1.164	
7.4	-0.0255	1.164	
7.5	-0.0255	1.169	
7.6	-0.0255	1.159	
7.7	-0.0252	1.169	
7.8	-0.0255	1.159	
7.9	-0.0252	1.154	
8.0	-0.0252	1.159	
8.1	-0.0252	1.159	
8.2	-0.0252	1.150	
8.3	-0.0255	1.159	
8.4	-0.0255	1.164	
8.5	-0.0252	1.154	
8.6	-0.0252	1.154	
8.7	-0.0252	1.159	
8.8	-0.0255	1.159	
8.9	-0.0252	1.150	
9.0	-0.0252	1.164	
9.1	-0.0252	1.154	
9.2	-0.0252	1.154	
9.3	-0.0252	1.154	
9.4	-0.0252	1.159	
9.5	-0.0252	1.154	
9.6	-0.0252	1.159	
9.7	-0.0252	1.154	
9.8	-0.0252	1.150	
9.9	-0.0252	1.150	
10.0	-0.0252	1.154	
Vernier Format 2
poopbutt.txt 8/9/2022 0:45:39
Run 2
Time	Current	Potential	
T	C	P	
min	A	V	

			
